2026-07-05 15:06:45 | INFO     | scraper | Browser context created.
2026-07-05 15:06:45 | INFO     | scraper | Scraping profile: https://www.tiktok.com/@emilyfluri
2026-07-05 15:06:45 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@emilyfluri
2026-07-05 15:07:06 | DEBUG    | scraper | Videos tab already active.
2026-07-05 15:07:12 | DEBUG    | scraper | Scroll finished after 4 steps (stalled).
2026-07-05 15:07:12 | DEBUG    | scraper | Found 0 video tiles.
2026-07-05 15:07:12 | INFO     | scraper | Profile scraped: @emilyfluri — 12.1K followers,  videos.
2026-07-05 15:07:12 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\profile_emilyfluri.json
2026-07-05 15:07:12 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 15:07:34 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 15:07:35 | INFO     | scraper | Browser context created.
2026-07-05 15:07:35 | INFO     | scraper | Scraping profile: https://www.tiktok.com/@emilyfluri
2026-07-05 15:07:35 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@emilyfluri
2026-07-05 15:08:01 | DEBUG    | scraper | Videos tab already active.
2026-07-05 15:08:03 | DEBUG    | scraper | Scroll  1: height=1472 scrollY=392 bottom=True
2026-07-05 15:08:04 | DEBUG    | scraper | Scroll  2: height=1472 scrollY=392 bottom=True
2026-07-05 15:08:06 | DEBUG    | scraper | Scroll  3: height=1472 scrollY=392 bottom=True
2026-07-05 15:08:07 | DEBUG    | scraper | Scroll  4: height=1472 scrollY=392 bottom=True
2026-07-05 15:08:07 | DEBUG    | scraper | Scroll finished after 4 steps (stalled at bottom).
2026-07-05 15:08:07 | DEBUG    | scraper | Found 0 video tiles.
2026-07-05 15:08:07 | INFO     | scraper | Profile scraped: @emilyfluri | followers=12.1K | tiles=0
2026-07-05 15:08:07 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\profile_emilyfluri.json
2026-07-05 15:08:08 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 15:08:27 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 15:08:28 | INFO     | scraper | Browser context created.
2026-07-05 15:08:28 | INFO     | scraper | Scraping profile: https://www.tiktok.com/@emilyfluri
2026-07-05 15:08:28 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@emilyfluri
2026-07-05 15:08:54 | DEBUG    | scraper | Videos tab already active.
2026-07-05 15:08:56 | DEBUG    | scraper | Scroll  1: height=1472 consecutive_same=0
2026-07-05 15:08:57 | DEBUG    | scraper | Scroll  2: height=1472 consecutive_same=0
2026-07-05 15:08:59 | DEBUG    | scraper | Scroll  3: height=1472 consecutive_same=1
2026-07-05 15:09:00 | DEBUG    | scraper | Scroll  4: height=1472 consecutive_same=2
2026-07-05 15:09:02 | DEBUG    | scraper | Scroll  5: height=1472 consecutive_same=3
2026-07-05 15:09:03 | DEBUG    | scraper | Scroll  6: height=1472 consecutive_same=4
2026-07-05 15:09:03 | DEBUG    | scraper | Scroll finished after 6 steps (stalled).
2026-07-05 15:09:03 | DEBUG    | scraper | Found 0 video tiles.
2026-07-05 15:09:03 | INFO     | scraper | Profile scraped: @emilyfluri | followers=12.1K | tiles=0
2026-07-05 15:09:03 | INFO     | utils | Data saved to C:\Users\wess\Desktop\python get data\output\profile_emilyfluri.json
2026-07-05 15:09:04 | INFO     | scraper | TikTokScraper stopped.
2026-07-05 15:09:34 | INFO     | scraper | Starting TikTokScraper …
2026-07-05 15:09:35 | INFO     | scraper | Browser context created.
2026-07-05 15:09:35 | INFO     | scraper | Scraping profile: https://www.tiktok.com/@emilyfluri
2026-07-05 15:09:35 | DEBUG    | scraper | Navigating to https://www.tiktok.com/@emilyfluri
2026-07-05 15:09:51 | DEBUG    | scraper | Videos tab already active.
2026-07-05 15:09:53 | DEBUG    | scraper | Scroll  1: height=1472 consecutive_same=0
